CustomerID,Recency,Frequency,MonetaryValue,R_Score,F_Score,M_Score,RFM_Score,Segment
12417,3,9,3649.1,4,4,4,444,高价值新客户
12418,113,1,668.58,2,1,2,212,低价值客户
12420,64,1,600.39,2,1,2,212,低价值客户
12421,16,4,807.04,4,3,3,433,高价值新客户
12422,96,3,803.5600000000001,2,3,3,233,中价值客户
12423,1,8,1859.31,4,4,4,444,高价值新客户
12424,163,2,1760.96,1,2,4,124,低价值客户
12425,78,1,777.2,2,1,3,213,低价值客户
12426,195,1,582.73,1,1,2,112,低价值客户
12427,22,3,825.8,3,3,3,333,忠诚客户
12428,26,9,7956.46,3,4,4,344,高价值忠诚客户
12429,9,4,3750.4,4,3,4,434,高价值新客户
12430,43,1,256.4,3,1,1,311,潜力客户
12431,36,15,6487.45,3,4,4,344,高价值忠诚客户
12432,43,5,5059.32,3,3,4,334,忠诚客户
12433,1,7,13375.87,4,4,4,444,高价值新客户
12434,85,2,806.14,2,2,3,223,低价值客户
12435,80,2,7829.89,2,2,4,224,低价值客户
12436,100,1,509.01,2,1,2,212,低价值客户
12437,2,18,4951.41,4,4,4,444,高价值新客户
12438,14,2,2906.85,4,2,4,424,新客户
12441,367,1,173.55,1,1,1,111,低价值客户
12442,3,1,172.06,4,1,1,411,新客户
12444,21,5,5005.46,3,3,4,334,忠诚客户
12445,22,1,133.4,3,1,1,311,潜力客户
12446,58,1,1002.3100000000001,2,1,3,213,低价值客户
12447,243,1,476.49,1,1,2,112,低价值客户
12448,44,1,449.45,3,1,2,312,潜力客户
12449,22,4,4067.29,3,3,4,334,忠诚客户
12450,156,2,197.88,1,2,1,121,低价值客户
12451,11,5,9035.52,4,3,4,434,高价值新客户
12452,17,2,430.57,4,2,2,422,新客户
12453,134,1,707.09,2,1,3,213,低价值客户
12454,56,1,3528.34,2,1,4,214,低价值客户
12455,73,6,2466.86,2,4,4,244,中价值客户
12456,44,3,3181.04,3,3,4,334,忠诚客户
12457,66,7,2363.23,2,4,4,244,中价值客户
12458,71,2,947.4,2,2,3,223,低价值客户
12461,94,2,826.88,2,2,3,223,低价值客户
12462,19,2,1189.59,3,2,3,323,潜力客户
12463,53,4,1344.78,2,3,3,233,中价值客户
12464,10,8,1212.05,4,4,3,443,高价值新客户
12465,17,2,742.1899999999999,4,2,3,423,新客户
12468,188,2,729.5400000000001,1,2,3,123,低价值客户
12471,2,30,19824.05,4,4,4,444,高价值新客户
12472,32,7,6572.11,3,4,4,344,高价值忠诚客户
12473,29,5,3938.5499999999997,3,3,4,334,忠诚客户
12474,17,18,7375.79,4,4,4,444,高价值新客户
12475,54,1,723.38,2,1,3,213,低价值客户
12476,16,11,6816.42,4,4,4,444,高价值新客户
12477,23,6,13219.74,3,4,4,344,高价值忠诚客户
12478,4,1,680.99,4,1,3,413,新客户
12479,11,1,527.2,4,1,2,412,新客户
12480,28,4,3281.63,3,3,4,334,忠诚客户
12481,23,10,5596.32,3,4,4,344,高价值忠诚客户
12483,17,8,2484.98,4,4,4,444,高价值新客户
12484,33,6,4541.72,3,4,4,344,高价值忠诚客户
12488,10,3,1298.66,4,3,3,433,高价值新客户
12489,336,1,334.93,1,1,2,112,低价值客户
12490,5,10,5417.93,4,4,4,444,高价值新客户
12491,39,1,460.40000000000003,3,1,2,312,潜力客户
12492,63,2,263.21000000000004,2,2,1,221,低价值客户
12493,166,2,433.74,1,2,2,122,低价值客户
12494,16,7,1246.1000000000001,4,4,3,443,高价值新客户
12497,82,1,1043.1,2,1,3,213,低价值客户
12498,21,3,403.70000000000005,3,3,2,332,忠诚客户
12500,23,11,4257.82,3,4,4,344,高价值忠诚客户
12501,337,1,2169.39,1,1,4,114,低价值客户
12502,96,5,3723.87,2,3,4,234,中价值客户
12504,18,2,482.04999999999995,4,2,2,422,新客户
12506,233,1,73.5,1,1,1,111,低价值客户
12507,134,3,1304.81,2,3,3,233,中价值客户
12508,26,2,398.27,3,2,2,322,潜力客户
12509,284,1,176.5,1,1,1,111,低价值客户
12510,143,2,982.5699999999999,1,2,3,123,低价值客户
12512,66,2,138.03,2,2,1,221,低价值客户
12513,113,1,612.29,2,1,2,212,低价值客户
12514,267,1,1017.68,1,1,3,113,低价值客户
12515,353,1,383.7,1,1,2,112,低价值客户
12516,78,2,1312.06,2,2,3,223,低价值客户
12517,28,5,2502.84,3,3,4,334,忠诚客户
12518,1,5,2056.89,4,3,4,434,高价值新客户
12519,64,1,340.84,2,1,2,212,低价值客户
12520,79,5,2634.26,2,3,4,234,中价值客户
12521,143,1,599.68,1,1,2,112,低价值客户
12522,39,2,192.72,3,2,1,321,潜力客户
12523,19,11,1789.77,3,4,4,344,高价值忠诚客户
12524,9,8,4485.72,4,4,4,444,高价值新客户
12526,1,3,1316.66,4,3,3,433,高价值新客户
12527,82,3,348.71000000000004,2,3,2,232,中价值客户
12528,9,6,1933.48,4,4,4,444,高价值新客户
12530,60,4,1662.28,2,3,4,234,中价值客户
12531,15,1,125.22,4,1,1,411,新客户
12532,30,1,349.83000000000004,3,1,2,312,潜力客户
12534,131,1,1089.18,2,1,3,213,低价值客户
12535,92,2,716.35,2,2,3,223,低价值客户
12536,43,3,12601.830000000002,3,3,4,334,忠诚客户
12538,29,1,363.95,3,1,2,312,潜力客户
12539,22,4,5568.35,3,3,4,334,忠诚客户
12540,20,17,13400.24,3,4,4,344,高价值忠诚客户
12541,30,3,981.18,3,3,3,333,忠诚客户
12544,36,1,372.7,3,1,2,312,潜力客户
12545,75,2,1000.39,2,2,3,223,低价值客户
12546,47,2,1161.5,3,2,3,323,潜力客户
12547,198,2,207.79999999999998,1,2,1,121,低价值客户
12548,166,1,95.19999999999999,1,1,1,111,低价值客户
12550,79,1,964.83,2,1,3,213,低价值客户
12551,358,1,168.0,1,1,1,111,低价值客户
12552,39,2,437.82,3,2,2,322,潜力客户
12553,8,10,3692.28,4,4,4,444,高价值新客户
12556,50,2,603.71,3,2,2,322,潜力客户
12557,16,5,11990.960000000001,4,3,4,434,高价值新客户
12558,8,1,269.96,4,1,1,411,新客户
12559,311,2,561.71,1,2,2,122,低价值客户
12560,5,3,2134.01,4,3,4,434,高价值新客户
12561,303,1,238.85,1,1,1,111,低价值客户
12562,8,7,3781.7400000000002,4,4,4,444,高价值新客户
12564,261,1,456.9,1,1,2,112,低价值客户
12565,289,1,145.92,1,1,1,111,低价值客户
12566,86,1,351.65,2,1,2,212,低价值客户
12567,23,10,9401.28,3,4,4,344,高价值忠诚客户
12569,2,32,4124.69,4,4,4,444,高价值新客户
12571,40,2,519.61,3,2,2,322,潜力客户
12572,9,2,1020.42,4,2,3,423,新客户
12573,227,1,160.54000000000002,1,1,1,111,低价值客户
12574,316,1,218.45,1,1,1,111,低价值客户
12576,36,5,1315.83,3,3,3,333,忠诚客户
12577,35,3,657.8,3,3,2,332,忠诚客户
12578,21,2,2794.51,3,2,4,324,潜力客户
12579,78,1,440.42,2,1,2,212,低价值客户
12580,247,1,415.7,1,1,2,112,低价值客户
12581,40,1,197.71,3,1,1,311,潜力客户
12582,239,2,511.36,1,2,2,122,低价值客户
12583,3,15,7281.38,4,4,4,444,高价值新客户
12584,4,9,2338.15,4,4,4,444,高价值新客户
12585,234,2,2040.1,1,2,4,124,低价值客户
12586,17,1,196.94000000000003,4,1,1,411,新客户
12587,8,1,144.0,4,1,1,411,新客户
12588,39,1,214.89999999999998,3,1,1,311,潜力客户
12589,29,2,646.68,3,2,2,322,潜力客户
12590,211,2,9864.26,1,2,4,124,低价值客户
12591,317,1,452.84999999999997,1,1,2,112,低价值客户
12592,92,2,437.6,2,2,2,222,低价值客户
12593,109,3,418.09999999999997,2,3,2,232,中价值客户
12594,38,10,3338.2200000000003,3,4,4,344,高价值忠诚客户
12596,51,2,618.27,3,2,2,322,潜力客户
12597,19,4,3811.22,3,3,4,334,忠诚客户
12598,10,8,3023.08,4,4,4,444,高价值新客户
12599,29,7,1032.58,3,4,3,343,高价值忠诚客户
12600,29,10,2599.04,3,4,4,344,高价值忠诚客户
12601,190,5,577.0600000000001,1,3,2,132,中价值客户
12602,59,1,153.12,2,1,1,211,低价值客户
12603,22,1,739.1999999999999,3,1,3,313,潜力客户
12604,79,2,254.18,2,2,1,221,低价值客户
12607,60,1,1579.51,2,1,3,213,低价值客户
12609,78,3,1126.85,2,3,3,233,中价值客户
12610,23,5,2099.54,3,3,4,334,忠诚客户
12611,52,1,1193.32,2,1,3,213,低价值客户
12612,74,1,704.0400000000001,2,1,3,213,低价值客户
12613,57,5,3344.38,2,3,4,234,中价值客户
12614,278,1,315.6,1,1,2,112,低价值客户
12615,2,4,2291.19,4,3,4,434,高价值新客户
12616,95,2,713.3,2,2,3,223,低价值客户
12617,29,1,355.53,3,1,2,312,潜力客户
12618,22,1,177.31,3,1,1,311,潜力客户
12619,16,9,3641.24,4,4,4,444,高价值新客户
12620,15,3,1339.41,4,3,3,433,高价值新客户
12621,2,20,13689.67,4,4,4,444,高价值新客户
12622,232,1,180.1,1,1,1,111,低价值客户
12623,276,1,305.1,1,1,1,111,低价值客户
12624,106,2,641.13,2,2,2,222,低价值客户
12625,212,2,2683.82,1,2,4,124,低价值客户
12626,23,9,6620.48,3,4,4,344,高价值忠诚客户
12627,11,7,4478.53,4,4,4,444,高价值新客户
12628,4,3,786.46,4,3,3,433,高价值新客户
12630,10,2,1270.88,4,2,3,423,新客户
12631,57,1,640.5,2,1,2,212,低价值客户
12633,59,4,2163.98,2,3,4,234,中价值客户
12635,90,2,1689.18,2,2,4,224,低价值客户
12637,67,8,6021.9,2,4,4,244,中价值客户
12638,33,1,671.69,3,1,2,312,潜力客户
12639,239,1,486.1,1,1,2,112,低价值客户
12640,24,3,1174.58,3,3,3,333,忠诚客户
12641,115,1,185.9,2,1,1,211,低价值客户
12642,25,3,1013.26,3,3,3,333,忠诚客户
12643,128,6,3344.64,2,4,4,244,中价值客户
12644,130,1,477.91,2,1,2,212,低价值客户
12645,34,4,1775.18,3,3,4,334,忠诚客户
12646,5,2,1346.97,4,2,3,423,新客户
12647,22,12,3722.82,3,4,4,344,高价值忠诚客户
12648,155,1,318.05,1,1,2,112,低价值客户
12649,107,3,623.51,2,3,2,232,中价值客户
12650,3,1,314.44,4,1,2,412,新客户
12651,335,1,114.0,1,1,1,111,低价值客户
12652,331,1,919.98,1,1,3,113,低价值客户
12653,149,2,2209.85,1,2,4,124,低价值客户
12654,11,5,601.98,4,3,2,432,高价值新客户
12656,17,5,4051.17,4,3,4,434,高价值新客户
12657,11,4,1643.18,4,3,3,433,高价值新客户
12658,19,1,686.05,3,1,3,313,潜力客户
12659,30,1,91.68,3,1,1,311,潜力客户
12660,11,1,245.1,4,1,1,411,新客户
12662,1,11,3849.78,4,4,4,444,高价值新客户
12664,8,9,4881.88,4,4,4,444,高价值新客户
12665,325,1,63.0,1,1,1,111,低价值客户
12667,58,1,620.13,2,1,2,212,低价值客户
12668,12,4,3807.15,4,3,4,434,高价值新客户
12669,151,3,2744.0299999999997,1,3,4,134,中价值客户
12670,10,5,2996.05,4,3,4,434,高价值新客户
12672,330,1,225.89999999999998,1,1,1,111,低价值客户
12673,5,2,610.52,4,2,2,422,新客户
12674,39,4,1970.6,3,3,4,334,忠诚客户
12676,25,6,1331.39,3,4,3,343,高价值忠诚客户
12678,42,12,17628.46,3,4,4,344,高价值忠诚客户
12679,59,4,1113.02,2,3,3,233,中价值客户
12680,1,4,862.81,4,3,3,433,高价值新客户
12681,15,22,13787.54,4,4,4,444,高价值新客户
12682,4,31,12288.22,4,4,4,444,高价值新客户
12683,4,15,8476.57,4,4,4,444,高价值新客户
12684,8,7,2283.63,4,4,4,444,高价值新客户
12685,28,6,2863.08,3,4,4,344,高价值忠诚客户
12686,372,1,89.14,1,1,1,111,低价值客户
12688,114,1,4873.8099999999995,2,1,4,214,低价值客户
12689,26,2,1247.61,3,2,3,323,潜力客户
12690,206,1,389.01,1,1,2,112,低价值客户
12691,28,6,1035.8,3,4,3,343,高价值忠诚客户
12693,127,4,855.91,2,3,3,233,中价值客户
12694,70,2,869.67,2,2,3,223,低价值客户
12695,7,4,582.1,4,3,2,432,高价值新客户
12697,29,3,957.59,3,3,3,333,忠诚客户
12700,8,4,4939.99,4,3,4,434,高价值新客户
12701,80,2,797.71,2,2,3,223,低价值客户
12702,20,1,219.0,3,1,1,311,潜力客户
12703,71,1,283.55,2,1,1,211,低价值客户
12704,7,8,2340.84,4,4,4,444,高价值新客户
12705,15,9,6868.29,4,4,4,444,高价值新客户
12707,292,1,603.42,1,1,2,112,低价值客户
12708,30,10,2712.91,3,4,4,344,高价值忠诚客户
12709,15,15,9736.52,4,4,4,444,高价值新客户
12710,97,3,1149.02,2,3,3,233,中价值客户
12712,29,13,4396.13,3,4,4,344,高价值忠诚客户
12713,1,1,848.55,4,1,3,413,新客户
12714,9,5,4708.86,4,3,4,434,高价值新客户
12715,106,1,353.86,2,1,2,212,低价值客户
12716,4,2,1053.49,4,2,3,423,新客户
12717,151,2,1030.98,1,2,3,123,低价值客户
12718,71,1,238.25,2,1,1,211,低价值客户
12719,5,2,644.95,4,2,2,422,新客户
12720,3,25,5781.73,4,4,4,444,高价值新客户
12721,32,6,2656.13,3,4,4,344,高价值忠诚客户
12722,85,4,997.63,2,3,3,233,中价值客户
12723,4,5,725.07,4,3,3,433,高价值新客户
12724,5,4,1031.41,4,3,3,433,高价值新客户
12725,371,1,427.8,1,1,2,112,低价值客户
12726,28,7,2609.1,3,4,4,344,高价值忠诚客户
12727,11,7,3980.7,4,4,4,444,高价值新客户
12728,71,4,836.33,2,3,3,233,中价值客户
12729,114,1,453.01,2,1,2,212,低价值客户
12731,24,12,18895.91,3,4,4,344,高价值忠诚客户
12732,180,1,236.26000000000002,1,1,1,111,低价值客户
12733,234,1,383.95,1,1,2,112,低价值客户
12734,353,1,110.39999999999999,1,1,1,111,低价值客户
12735,315,2,779.5699999999999,1,2,3,123,低价值客户
12736,333,1,234.0,1,1,1,111,低价值客户
12738,372,1,155.35,1,1,1,111,低价值客户
12739,78,2,1013.04,2,2,3,223,低价值客户
12740,64,1,427.6,2,1,2,212,低价值客户
12743,134,2,546.43,2,2,2,222,低价值客户
12744,52,7,21279.29,2,4,4,244,中价值客户
12747,2,11,4196.01,4,4,4,444,高价值新客户
12748,1,209,33719.73,4,4,4,444,高价值新客户
12749,4,5,4090.88,4,3,4,434,高价值新客户
12750,129,1,275.88,2,1,1,211,低价值客户
12752,81,1,4366.78,2,1,4,214,低价值客户
12753,23,6,21429.39,3,4,4,344,高价值忠诚客户
12754,236,3,3010.74,1,3,4,134,中价值客户
12755,281,2,3811.95,1,2,4,124,低价值客户
12756,87,1,112.07999999999998,2,1,1,211,低价值客户
12757,16,13,7857.1,4,4,4,444,高价值新客户
12758,117,2,2791.59,2,2,4,224,低价值客户
12759,52,3,1531.44,2,3,3,233,中价值客户
12762,8,2,1898.52,4,2,4,424,新客户
12763,138,2,494.08,2,2,2,222,低价值客户
12764,317,1,1693.88,1,1,4,114,低价值客户
12766,4,7,6989.63,4,4,4,444,高价值新客户
12769,239,1,1143.6,1,1,3,113,低价值客户
12770,211,1,1351.45,1,1,3,113,低价值客户
12772,60,1,892.47,2,1,3,213,低价值客户
12775,17,5,1386.04,4,3,3,433,高价值新客户
12778,20,6,822.23,3,4,3,343,高价值忠诚客户
12779,38,8,3981.36,3,4,4,344,高价值忠诚客户
12781,64,2,826.74,2,2,3,223,低价值客户
12782,5,5,2330.92,4,3,4,434,高价值新客户
12783,2,6,2225.91,4,4,4,444,高价值新客户
12784,9,2,574.42,4,2,2,422,新客户
12785,364,1,311.95,1,1,2,112,低价值客户
12787,10,3,463.66,4,3,2,432,高价值新客户
12789,65,1,91.85,2,1,1,211,低价值客户
12790,192,1,324.92,1,1,2,112,低价值客户
12791,374,1,192.60000000000002,1,1,1,111,低价值客户
12792,257,1,400.53999999999996,1,1,2,112,低价值客户
12793,335,2,545.48,1,2,2,122,低价值客户
12794,53,2,860.41,2,2,3,223,低价值客户
12795,19,1,430.48,3,1,2,312,潜力客户
12797,366,1,254.03,1,1,1,111,低价值客户
12798,10,3,6977.04,4,3,4,434,高价值新客户
12802,187,1,427.58,1,1,2,112,低价值客户
12808,37,3,483.65000000000003,3,3,2,332,忠诚客户
12809,178,1,489.31,1,1,2,112,低价值客户
12811,261,3,514.85,1,3,2,132,中价值客户
12812,45,1,229.64000000000001,3,1,1,311,潜力客户
12814,102,1,125.92,2,1,1,211,低价值客户
12815,148,2,1063.46,1,2,3,123,低价值客户
12816,96,2,572.2,2,2,2,222,低价值客户
12817,281,1,166.04,1,1,1,111,低价值客户
12818,262,1,1542.08,1,1,3,113,低价值客户
12820,3,4,942.34,4,3,3,433,高价值新客户
12821,214,1,92.72,1,1,1,111,低价值客户
12822,71,2,948.88,2,2,3,223,低价值客户
12823,75,5,1759.5,2,3,4,234,中价值客户
12824,60,1,397.12,2,1,2,212,低价值客户
12826,3,7,1474.72,4,4,3,443,高价值新客户
12827,6,3,430.15000000000003,4,3,2,432,高价值新客户
12828,3,6,1018.71,4,4,3,443,高价值新客户
12829,337,2,293.0,1,2,1,121,低价值客户
12830,38,6,6814.64,3,4,4,344,高价值忠诚客户
12831,262,1,215.05,1,1,1,111,低价值客户
12832,32,2,383.03,3,2,2,322,潜力客户
12833,145,1,417.38,1,1,2,112,低价值客户
12834,283,1,312.38,1,1,2,112,低价值客户
12836,59,4,2612.86,2,3,4,234,中价值客户
12837,173,1,134.1,1,1,1,111,低价值客户
12838,34,2,683.13,3,2,3,323,潜力客户
12839,3,14,5591.42,4,4,4,444,高价值新客户
12840,144,4,2726.77,1,3,4,134,中价值客户
12841,5,25,4022.35,4,4,4,444,高价值新客户
12842,70,2,1118.99,2,2,3,223,低价值客户
12843,66,8,1702.26,2,4,4,244,中价值客户
12844,29,2,325.96000000000004,3,2,2,322,潜力客户
12845,267,4,354.09,1,3,2,132,中价值客户
12847,22,1,871.54,3,1,3,313,潜力客户
12849,31,2,1050.8899999999999,3,2,3,323,潜力客户
12851,97,1,135.18,2,1,1,211,低价值客户
12852,295,1,311.55,1,1,2,112,低价值客户
12853,135,6,1957.1000000000001,2,4,4,244,中价值客户
12854,79,3,1324.5,2,3,3,233,中价值客户
12855,373,1,38.1,1,1,1,111,低价值客户
12856,8,6,2179.93,4,4,4,444,高价值新客户
12857,211,2,1106.4,1,2,3,123,低价值客户
12863,52,1,521.2,2,1,2,212,低价值客户
12864,138,1,147.12,2,1,1,211,低价值客户
12865,26,2,1568.23,3,2,3,323,潜力客户
12866,283,1,559.12,1,1,2,112,低价值客户
12867,26,7,4036.82,3,4,4,344,高价值忠诚客户
12868,186,6,1607.0600000000002,1,4,3,143,中价值客户
12871,84,2,380.64,2,2,2,222,低价值客户
12872,327,2,599.97,1,2,2,122,低价值客户
12873,282,1,374.0,1,1,2,112,低价值客户
12875,143,2,343.2300000000001,1,2,2,122,低价值客户
12876,58,2,2218.02,2,2,4,224,低价值客户
12877,4,12,1535.77,4,4,3,443,高价值新客户
12878,236,2,854.99,1,2,3,123,低价值客户
12879,45,3,573.22,3,3,2,332,忠诚客户
12881,276,1,298.0,1,1,1,111,低价值客户
12882,9,2,1463.04,4,2,3,423,新客户
12883,25,4,703.47,3,3,3,333,忠诚客户
12884,88,1,309.05,2,1,2,212,低价值客户
12885,63,3,1175.22,2,3,3,233,中价值客户
12886,68,2,1378.4,2,2,3,223,低价值客户
12888,214,2,354.12,1,2,2,122,低价值客户
12890,24,1,380.46999999999997,3,1,2,312,潜力客户
12891,186,3,331.0,1,3,2,132,中价值客户
12893,31,1,188.14,3,1,1,311,潜力客户
12895,42,2,372.8,3,2,2,322,潜力客户
12897,205,2,216.5,1,2,1,121,低价值客户
12901,9,28,17654.54,4,4,4,444,高价值新客户
12902,265,1,138.68,1,1,1,111,低价值客户
12904,18,2,509.58,4,2,2,422,新客户
12906,12,5,2919.81,4,3,4,434,高价值新客户
12908,176,2,750.0,1,2,3,123,低价值客户
12909,40,5,2178.67,3,3,4,334,忠诚客户
12910,23,8,3075.04,3,4,4,344,高价值忠诚客户
12912,3,5,1662.3,4,3,4,434,高价值新客户
12913,5,5,2483.63,4,4,4,444,高价值新客户
12915,149,2,363.65,1,2,2,122,低价值客户
12916,139,4,3006.15,2,3,4,234,中价值客户
12917,128,1,594.0,2,1,2,212,低价值客户
12919,8,6,1335.19,4,4,3,443,高价值新客户
12920,17,1,164.23,4,1,1,411,新客户
12921,9,37,16587.09,4,4,4,444,高价值新客户
12922,161,1,405.38,1,1,2,112,低价值客户
12923,64,1,176.97,2,1,1,211,低价值客户
12924,88,4,933.7,2,3,3,233,中价值客户
12925,5,2,694.05,4,2,3,423,新客户
12928,35,5,2062.7000000000003,3,4,4,344,高价值忠诚客户
12929,312,1,117.85,1,1,1,111,低价值客户
12930,78,2,415.8,2,2,2,222,低价值客户
12931,22,15,42055.96,3,4,4,344,高价值忠诚客户
12933,24,3,607.53,3,3,2,332,忠诚客户
12935,2,7,2160.7,4,4,4,444,高价值新客户
12936,17,4,1063.9,4,3,3,433,高价值新客户
12937,15,4,1504.27,4,3,3,433,高价值新客户
12938,26,1,114.14,3,1,1,311,潜力客户
12939,64,8,11581.8,2,4,4,244,中价值客户
12940,55,2,913.54,2,2,3,223,低价值客户
12942,131,3,683.9,2,3,3,233,中价值客户
12944,36,2,604.51,3,2,2,322,潜力客户
12945,288,1,462.95,1,1,2,112,低价值客户
12947,144,6,1603.99,1,4,3,143,中价值客户
12948,16,7,2064.95,4,4,4,444,高价值新客户
12949,31,8,4167.22,3,4,4,344,高价值忠诚客户
12950,2,3,1843.0,4,3,4,434,高价值新客户
12951,9,6,1064.07,4,4,3,443,高价值新客户
12952,6,4,1387.79,4,3,3,433,高价值新客户
12953,10,1,329.85,4,1,2,412,新客户
12955,1,11,4757.16,4,4,4,444,高价值新客户
12956,306,1,108.07,1,1,1,111,低价值客户
12957,10,8,4017.54,4,4,4,444,高价值新客户
12962,7,2,266.39,4,2,1,421,新客户
12963,8,8,1856.63,4,4,4,444,高价值新客户
12965,89,1,771.91,2,1,3,213,低价值客户
12966,10,1,160.18,4,1,1,411,新客户
12967,358,2,1660.9,1,2,3,123,低价值客户
12968,112,1,135.95,2,1,1,211,低价值客户
12970,7,4,452.24,4,3,2,432,高价值新客户
12971,4,86,11189.91,4,4,4,444,高价值新客户
12974,198,1,144.8,1,1,1,111,低价值客户
12976,212,1,738.6,1,1,3,113,低价值客户
12977,156,1,39.239999999999995,1,1,1,111,低价值客户
12980,158,9,7374.900000000001,1,4,4,144,中价值客户
12981,30,2,372.21999999999997,3,2,2,322,潜力客户
12982,243,1,390.54,1,1,2,112,低价值客户
12984,19,1,97.5,3,1,1,311,潜力客户
12985,1,2,1239.38,4,2,3,423,新客户
12987,74,2,558.7,2,2,2,222,低价值客户
12988,292,1,535.32,1,1,2,112,低价值客户
12989,3,15,6924.110000000001,4,4,4,444,高价值新客户
12990,31,3,409.5,3,3,2,332,忠诚客户
12991,23,2,503.76,3,2,2,322,潜力客户
12993,23,4,414.76,3,3,2,332,忠诚客户
12994,4,3,974.4200000000001,4,3,3,433,高价值新客户
12995,85,1,211.32,2,1,1,211,低价值客户
12997,22,4,1226.89,3,3,3,333,忠诚客户
12999,196,3,455.88,1,3,2,132,中价值客户
13000,107,3,534.85,2,3,2,232,中价值客户
13001,4,13,9818.82,4,4,4,444,高价值新客户
13002,318,1,120.94999999999999,1,1,1,111,低价值客户
13003,106,3,149.05,2,3,1,231,中价值客户
13004,12,18,5655.91,4,4,4,444,高价值新客户
13005,174,2,513.7,1,2,2,122,低价值客户
13006,56,1,81.57,2,1,1,211,低价值客户
13008,323,1,229.46999999999997,1,1,1,111,低价值客户
13011,372,1,50.550000000000004,1,1,1,111,低价值客户
13012,9,8,1661.8400000000001,4,4,4,444,高价值新客户
13013,1,13,4810.9400000000005,4,4,4,444,高价值新客户
13014,11,10,3466.2799999999997,4,4,4,444,高价值新客户
13015,53,5,3346.28,2,4,4,244,中价值客户
13016,73,3,789.89,2,3,3,233,中价值客户
13017,7,1,204.0,4,1,1,411,新客户
13018,16,28,7277.7,4,4,4,444,高价值新客户
13021,4,9,2616.38,4,4,4,444,高价值新客户
13023,64,2,689.9,2,2,3,223,低价值客户
13026,1,5,975.36,4,4,3,443,高价值新客户
13027,114,6,6912.0,2,4,4,244,中价值客户
13028,23,2,661.3199999999999,3,2,2,322,潜力客户
13029,31,3,1247.5,3,3,3,333,忠诚客户
13030,11,2,799.48,4,2,3,423,新客户
13032,52,2,1010.18,2,2,3,223,低价值客户
13033,357,1,190.55,1,1,1,111,低价值客户
13034,55,2,642.77,2,2,2,222,低价值客户
13035,74,2,921.88,2,2,3,223,低价值客户
